Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Julian's Wi-Fi Network;5C:96:9D:68:4A:D1;;11;No;WPA2,AES-CCM;No;54.0;0;33;0;29;0;0;29;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;519;F8:D1:11:41:B5:08;;11;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;11;0;0;0;0;0;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;chim_vip;00:22:6B:70:28:8E;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;6;0;1;0;0;1;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;AndroidMob;2E:37:31:01:BB:53;;1;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;PM Office;4C:5E:0C:E1:F0:0D;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;kolchakov;52:2E:5C:45:6E:D7;;1;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;D0:C2:82:AF:5C:E1;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:31 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Ñ.Ð¹Ñ.Ð¹Ñ.;F8:A9:D0:0A:D8:C3;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ch_wireless2;20:AA:4B:50:99:E6;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;8;0;1;0;0;1;;;Fri Mar 18 18:34:31 2016;Fri Mar 18 18:34:35 2016;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;VIVACOM FREE WiFi Zone;00:02:6F:CA:63:70;;11;No;OPN,None;No;54.0;0;8;0;1;0;0;1;;;Fri Mar 18 18:34:32 2016;Fri Mar 18 18:34:35 2016;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.21.6.46;
11;infrastructure;VIVACOM Free Wi-Fi Zone;00:02:6F:DC:46:54;;12;No;OPN,None;No;54.0;0;16;0;7;0;0;7;;;Fri Mar 18 18:34:32 2016;Fri Mar 18 18:34:35 2016;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;ccb-life-btc;00:23:69:79:8F:48;;2;No;WPA,TKIP;No;54.0;0;3;0;1;0;0;1;;;Fri Mar 18 18:34:32 2016;Fri Mar 18 18:34:33 2016;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;VIVACOM Free Wi-Fi Zone;00:02:6F:CC:99:20;;3;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Fri Mar 18 18:34:32 2016;Fri Mar 18 18:34:33 2016;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Alcatel;00:15:EB:E8:E4:A3;;3;No;WPA,TKIP;No;54.0;0;6;0;0;0;0;0;;;Fri Mar 18 18:34:32 2016;Fri Mar 18 18:34:33 2016;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;2C:3F:38:5B:09:41;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Mar 18 18:34:33 2016;Fri Mar 18 18:34:33 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;PRENOS-STTS;00:1D:20:F0:96:C2;;5;No;WPA,TKIP;No;54.0;0;4;0;0;0;0;0;;;Fri Mar 18 18:34:34 2016;Fri Mar 18 18:34:34 2016;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;ch_wireless;4C:5E:0C:2C:E1:05;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;0;0;0;0;0;0;;;Fri Mar 18 18:34:35 2016;Fri Mar 18 18:34:35 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
